Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
HG01613	female	SAME123626	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01621	male	SAME123843	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01684	female	SAME124660	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01674	male	SAME123286	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01618	female	SAME123631	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01626	female	SAME123842	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01696	male	SAME124715	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01612	female	SAME123625	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01620	female	SAME123844	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01703	male	SAME123260	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01617	male	SAME123630	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01625	male	SAME123839	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01708	male	SAME123253	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01624	male	SAME123840	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01682	male	SAME124654	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01710	female	SAME123084	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01687	female	SAME124657	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01746	female	SAME125180	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01694	male	SAME124844	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01633	male	SAME124033	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01699	male	SAME1839210	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01669	male	SAME123110	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01671	male	SAME123291	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01601	male	SAME123455	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01676	female	SAME123284	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01606	male	SAME123458	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01632	female	SAME124032	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01668	female	SAME123111	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01670	female	SAME123290	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01683	male	SAME124653	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01675	male	SAME123287	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01695	female	SAME124845	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01701	male	SAME123262	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01757	female	SAME124987	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01765	male	SAME1839681	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01706	female	SAME123263	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01764	female	SAME1839689	IBS	Spanish	EUR	European	
HG01772	female	SAME124636	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01769	female	SAME1839655	IBS	Spanish	EUR	European	
HG01771	male	SAME124637	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01702	female	SAME123259	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01707	female	SAME123264	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02219	male	SAME1839813	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02221	male	SAME123716	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02233	male	SAME1839370	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02238	male	SAME1839423	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02240	female	SAME1839481	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02224	male	SAME1839579	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02229	female	SAME1839649	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02231	male	SAME1839376	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02236	male	SAME123520	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02218	female	SAME1839820	IBS	Spanish	EUR	European	1000 Genomes on GRCh38
HG02220	female	SAME123715	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02225	female	SAME1839576	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02223	female	SAME1839584	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02232	female	SAME1839374	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02230	female	SAME1839383	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02237	female	SAME123519	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02235	female	SAME123521	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02217	female	SAME1839826	IBS	Spanish	EUR	European	
HG01503	male	SAME124944	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01508	male	SAME124939	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01510	female	SAME124771	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01515	male	SAME124774	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01604	female	SAME123460	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01609	male	SAME123461	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01611	male	SAME123624	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01678	male	SAME123292	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01680	male	SAME124656	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01685	female	SAME124659	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01697	female	SAME1839223	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01700	male	SAME123261	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01705	male	SAME123266	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01748	male	SAME125191	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01755	female	SAME124986	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01779	female	SAME124629	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01781	male	SAME124921	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01786	female	SAME1839312	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01762	female	SAME124811	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01767	male	SAME1839671	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01774	male	SAME124634	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01628	female	SAME123837	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01630	male	SAME124034	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01673	female	SAME123289	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01522	female	SAME125321	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01527	male	SAME125326	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01616	female	SAME123629	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01623	female	SAME123845	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG02222	female	SAME123717	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02234	male	SAME1839367	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02239	female	SAME1839420	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
